0 0 ['38d2m42s', '111d3m31s'] ['38d2m42s', '111d0m0s'] ['38d0m0s', '111d3m31s'] ['38d0m0s', '111d0m0s'] 1970
69 6 ['38d18m54s', '115d6m10s'] ['38d18m54s', '115d2m39s'] ['38d16m12s', '115d6m10s'] ['38d16m12s', '115d2m39s'] 2131
70 6 ['38d18m54s', '115d9m41s'] ['38d18m54s', '115d6m10s'] ['38d16m12s', '115d9m41s'] ['38d16m12s', '115d6m10s'] 1876
71 6 ['38d18m54s', '115d13m12s'] ['38d18m54s', '115d9m41s'] ['38d16m12s', '115d13m12s'] ['38d16m12s', '115d9m41s'] 1596
72 6 ['38d18m54s', '115d16m43s'] ['38d18m54s', '115d13m12s'] ['38d16m12s', '115d16m43s'] ['38d16m12s', '115d13m12s'] 1866
73 6 ['38d18m54s', '115d20m14s'] ['38d18m54s', '115d16m43s'] ['38d16m12s', '115d20m14s'] ['38d16m12s', '115d16m43s'] 1909
74 6 ['38d18m54s', '115d23m45s'] ['38d18m54s', '115d20m14s'] ['38d16m12s', '115d23m45s'] ['38d16m12s', '115d20m14s'] 1883
75 6 ['38d18m54s', '115d27m16s'] ['38d18m54s', '115d23m45s'] ['38d16m12s', '115d27m16s'] ['38d16m12s', '115d23m45s'] 2225
76 6 ['38d18m54s', '115d30m47s'] ['38d18m54s', '115d27m16s'] ['38d16m12s', '115d30m47s'] ['38d16m12s', '115d27m16s'] 3398
77 6 ['38d18m54s', '115d34m18s'] ['38d18m54s', '115d30m47s'] ['38d16m12s', '115d34m18s'] ['38d16m12s', '115d30m47s'] 3361
78 6 ['38d18m54s', '115d37m49s'] ['38d18m54s', '115d34m18s'] ['38d16m12s', '115d37m49s'] ['38d16m12s', '115d34m18s'] 2077
79 6 ['38d18m54s', '115d41m20s'] ['38d18m54s', '115d37m49s'] ['38d16m12s', '115d41m20s'] ['38d16m12s', '115d37m49s'] 1707
80 6 ['38d18m54s', '115d44m51s'] ['38d18m54s', '115d41m20s'] ['38d16m12s', '115d44m51s'] ['38d16m12s', '115d41m20s'] 1534
81 6 ['38d18m54s', '115d48m22s'] ['38d18m54s', '115d44m51s'] ['38d16m12s', '115d48m22s'] ['38d16m12s', '115d44m51s'] 1471
82 6 ['38d18m54s', '115d51m53s'] ['38d18m54s', '115d48m22s'] ['38d16m12s', '115d51m53s'] ['38d16m12s', '115d48m22s'] 1480
83 6 ['38d18m54s', '115d55m24s'] ['38d18m54s', '115d51m53s'] ['38d16m12s', '115d55m24s'] ['38d16m12s', '115d51m53s'] 1678
84 6 ['38d18m54s', '115d58m55s'] ['38d18m54s', '115d55m24s'] ['38d16m12s', '115d58m55s'] ['38d16m12s', '115d55m24s'] 1993
85 6 ['38d18m54s', '116d2m26s'] ['38d18m54s', '115d58m55s'] ['38d16m12s', '116d2m26s'] ['38d16m12s', '115d58m55s'] 1991
86 6 ['38d18m54s', '116d5m57s'] ['38d18m54s', '116d2m26s'] ['38d16m12s', '116d5m57s'] ['38d16m12s', '116d2m26s'] 2265
87 6 ['38d18m54s', '116d9m28s'] ['38d18m54s', '116d5m57s'] ['38d16m12s', '116d9m28s'] ['38d16m12s', '116d5m57s'] 2291
88 6 ['38d18m54s', '116d12m59s'] ['38d18m54s', '116d9m28s'] ['38d16m12s', '116d12m59s'] ['38d16m12s', '116d9m28s'] 1667
89 6 ['38d18m54s', '116d16m30s'] ['38d18m54s', '116d12m59s'] ['38d16m12s', '116d16m30s'] ['38d16m12s', '116d12m59s'] 1594
90 6 ['38d18m54s', '116d20m1s'] ['38d18m54s', '116d16m30s'] ['38d16m12s', '116d20m1s'] ['38d16m12s', '116d16m30s'] 1695
91 6 ['38d18m54s', '116d23m32s'] ['38d18m54s', '116d20m1s'] ['38d16m12s', '116d23m32s'] ['38d16m12s', '116d20m1s'] 2334
92 6 ['38d18m54s', '116d27m3s'] ['38d18m54s', '116d23m32s'] ['38d16m12s', '116d27m3s'] ['38d16m12s', '116d23m32s'] 2781
93 6 ['38d18m54s', '116d30m34s'] ['38d18m54s', '116d27m3s'] ['38d16m12s', '116d30m34s'] ['38d16m12s', '116d27m3s'] 2633
94 6 ['38d18m54s', '116d34m5s'] ['38d18m54s', '116d30m34s'] ['38d16m12s', '116d34m5s'] ['38d16m12s', '116d30m34s'] 2101
95 6 ['38d18m54s', '116d37m36s'] ['38d18m54s', '116d34m5s'] ['38d16m12s', '116d37m36s'] ['38d16m12s', '116d34m5s'] 1920
96 6 ['38d18m54s', '116d41m7s'] ['38d18m54s', '116d37m36s'] ['38d16m12s', '116d41m7s'] ['38d16m12s', '116d37m36s'] 2275
97 6 ['38d18m54s', '116d44m38s'] ['38d18m54s', '116d41m7s'] ['38d16m12s', '116d44m38s'] ['38d16m12s', '116d41m7s'] 2346
98 6 ['38d18m54s', '116d48m9s'] ['38d18m54s', '116d44m38s'] ['38d16m12s', '116d48m9s'] ['38d16m12s', '116d44m38s'] 2591
99 6 ['38d18m54s', '116d51m40s'] ['38d18m54s', '116d48m9s'] ['38d16m12s', '116d51m40s'] ['38d16m12s', '116d48m9s'] 2304
100 6 ['38d18m54s', '116d55m11s'] ['38d18m54s', '116d51m40s'] ['38d16m12s', '116d55m11s'] ['38d16m12s', '116d51m40s'] 2321
101 6 ['38d18m54s', '116d58m42s'] ['38d18m54s', '116d55m11s'] ['38d16m12s', '116d58m42s'] ['38d16m12s', '116d55m11s'] 2113
102 6 ['38d18m54s', '117d2m13s'] ['38d18m54s', '116d58m42s'] ['38d16m12s', '117d2m13s'] ['38d16m12s', '116d58m42s'] 1894
103 6 ['38d18m54s', '117d5m44s'] ['38d18m54s', '117d2m13s'] ['38d16m12s', '117d5m44s'] ['38d16m12s', '117d2m13s'] 1819
104 6 ['38d18m54s', '117d9m15s'] ['38d18m54s', '117d5m44s'] ['38d16m12s', '117d9m15s'] ['38d16m12s', '117d5m44s'] 1950
105 6 ['38d18m54s', '117d12m46s'] ['38d18m54s', '117d9m15s'] ['38d16m12s', '117d12m46s'] ['38d16m12s', '117d9m15s'] 2428
106 6 ['38d18m54s', '117d16m17s'] ['38d18m54s', '117d12m46s'] ['38d16m12s', '117d16m17s'] ['38d16m12s', '117d12m46s'] 2598
107 6 ['38d18m54s', '117d19m48s'] ['38d18m54s', '117d16m17s'] ['38d16m12s', '117d19m48s'] ['38d16m12s', '117d16m17s'] 2087
108 6 ['38d18m54s', '117d23m19s'] ['38d18m54s', '117d19m48s'] ['38d16m12s', '117d23m19s'] ['38d16m12s', '117d19m48s'] 1650
109 6 ['38d18m54s', '117d26m50s'] ['38d18m54s', '117d23m19s'] ['38d16m12s', '117d26m50s'] ['38d16m12s', '117d23m19s'] 1535
110 6 ['38d18m54s', '117d30m21s'] ['38d18m54s', '117d26m50s'] ['38d16m12s', '117d30m21s'] ['38d16m12s', '117d26m50s'] 1690
111 6 ['38d18m54s', '117d33m52s'] ['38d18m54s', '117d30m21s'] ['38d16m12s', '117d33m52s'] ['38d16m12s', '117d30m21s'] 1766
112 6 ['38d18m54s', '117d37m23s'] ['38d18m54s', '117d33m52s'] ['38d16m12s', '117d37m23s'] ['38d16m12s', '117d33m52s'] 1732
113 6 ['38d18m54s', '117d40m54s'] ['38d18m54s', '117d37m23s'] ['38d16m12s', '117d40m54s'] ['38d16m12s', '117d37m23s'] 2008
114 6 ['38d18m54s', '117d44m25s'] ['38d18m54s', '117d40m54s'] ['38d16m12s', '117d44m25s'] ['38d16m12s', '117d40m54s'] 2072
115 6 ['38d18m54s', '117d47m56s'] ['38d18m54s', '117d44m25s'] ['38d16m12s', '117d47m56s'] ['38d16m12s', '117d44m25s'] 1698
116 6 ['38d18m54s', '117d51m27s'] ['38d18m54s', '117d47m56s'] ['38d16m12s', '117d51m27s'] ['38d16m12s', '117d47m56s'] 1831
117 6 ['38d18m54s', '117d54m58s'] ['38d18m54s', '117d51m27s'] ['38d16m12s', '117d54m58s'] ['38d16m12s', '117d51m27s'] 2093
118 6 ['38d18m54s', '117d58m29s'] ['38d18m54s', '117d54m58s'] ['38d16m12s', '117d58m29s'] ['38d16m12s', '117d54m58s'] 2285
119 6 ['38d18m54s', '118d2m0s'] ['38d18m54s', '117d58m29s'] ['38d16m12s', '118d2m0s'] ['38d16m12s', '117d58m29s'] 2268
120 6 ['38d18m54s', '118d5m31s'] ['38d18m54s', '118d2m0s'] ['38d16m12s', '118d5m31s'] ['38d16m12s', '118d2m0s'] 1478
121 6 ['38d18m54s', '118d9m2s'] ['38d18m54s', '118d5m31s'] ['38d16m12s', '118d9m2s'] ['38d16m12s', '118d5m31s'] 1609
122 6 ['38d18m54s', '118d12m33s'] ['38d18m54s', '118d9m2s'] ['38d16m12s', '118d12m33s'] ['38d16m12s', '118d9m2s'] 2319
123 6 ['38d18m54s', '118d16m4s'] ['38d18m54s', '118d12m33s'] ['38d16m12s', '118d16m4s'] ['38d16m12s', '118d12m33s'] 2674
124 6 ['38d18m54s', '118d19m35s'] ['38d18m54s', '118d16m4s'] ['38d16m12s', '118d19m35s'] ['38d16m12s', '118d16m4s'] 2547
125 6 ['38d18m54s', '118d23m6s'] ['38d18m54s', '118d19m35s'] ['38d16m12s', '118d23m6s'] ['38d16m12s', '118d19m35s'] 2628
126 6 ['38d18m54s', '118d26m37s'] ['38d18m54s', '118d23m6s'] ['38d16m12s', '118d26m37s'] ['38d16m12s', '118d23m6s'] 2648
127 6 ['38d18m54s', '118d30m8s'] ['38d18m54s', '118d26m37s'] ['38d16m12s', '118d30m8s'] ['38d16m12s', '118d26m37s'] 2492
128 6 ['38d18m54s', '118d33m39s'] ['38d18m54s', '118d30m8s'] ['38d16m12s', '118d33m39s'] ['38d16m12s', '118d30m8s'] 2489
129 6 ['38d18m54s', '118d37m10s'] ['38d18m54s', '118d33m39s'] ['38d16m12s', '118d37m10s'] ['38d16m12s', '118d33m39s'] 2223
130 6 ['38d18m54s', '118d40m41s'] ['38d18m54s', '118d37m10s'] ['38d16m12s', '118d40m41s'] ['38d16m12s', '118d37m10s'] 2833
131 6 ['38d18m54s', '118d44m12s'] ['38d18m54s', '118d40m41s'] ['38d16m12s', '118d44m12s'] ['38d16m12s', '118d40m41s'] 2837
132 6 ['38d18m54s', '118d47m43s'] ['38d18m54s', '118d44m12s'] ['38d16m12s', '118d47m43s'] ['38d16m12s', '118d44m12s'] 2524
133 6 ['38d18m54s', '118d51m14s'] ['38d18m54s', '118d47m43s'] ['38d16m12s', '118d51m14s'] ['38d16m12s', '118d47m43s'] 2863
134 6 ['38d18m54s', '118d54m45s'] ['38d18m54s', '118d51m14s'] ['38d16m12s', '118d54m45s'] ['38d16m12s', '118d51m14s'] 2663
135 6 ['38d18m54s', '118d58m16s'] ['38d18m54s', '118d54m45s'] ['38d16m12s', '118d58m16s'] ['38d16m12s', '118d54m45s'] 2688
136 6 ['38d18m54s', '119d1m47s'] ['38d18m54s', '118d58m16s'] ['38d16m12s', '119d1m47s'] ['38d16m12s', '118d58m16s'] 2746
137 6 ['38d18m54s', '119d5m18s'] ['38d18m54s', '119d1m47s'] ['38d16m12s', '119d5m18s'] ['38d16m12s', '119d1m47s'] 2768
138 6 ['38d18m54s', '119d8m49s'] ['38d18m54s', '119d5m18s'] ['38d16m12s', '119d8m49s'] ['38d16m12s', '119d5m18s'] 2720
139 6 ['38d18m54s', '119d12m20s'] ['38d18m54s', '119d8m49s'] ['38d16m12s', '119d12m20s'] ['38d16m12s', '119d8m49s'] 2620
140 6 ['38d18m54s', '119d15m51s'] ['38d18m54s', '119d12m20s'] ['38d16m12s', '119d15m51s'] ['38d16m12s', '119d12m20s'] 2390
141 6 ['38d18m54s', '119d19m22s'] ['38d18m54s', '119d15m51s'] ['38d16m12s', '119d19m22s'] ['38d16m12s', '119d15m51s'] 2529
142 6 ['38d18m54s', '119d22m53s'] ['38d18m54s', '119d19m22s'] ['38d16m12s', '119d22m53s'] ['38d16m12s', '119d19m22s'] 2910
143 6 ['38d18m54s', '119d26m24s'] ['38d18m54s', '119d22m53s'] ['38d16m12s', '119d26m24s'] ['38d16m12s', '119d22m53s'] 3044
144 6 ['38d18m54s', '119d29m55s'] ['38d18m54s', '119d26m24s'] ['38d16m12s', '119d29m55s'] ['38d16m12s', '119d26m24s'] 3196
145 6 ['38d18m54s', '119d33m26s'] ['38d18m54s', '119d29m55s'] ['38d16m12s', '119d33m26s'] ['38d16m12s', '119d29m55s'] 3248
146 6 ['38d18m54s', '119d36m57s'] ['38d18m54s', '119d33m26s'] ['38d16m12s', '119d36m57s'] ['38d16m12s', '119d33m26s'] 3231
147 6 ['38d18m54s', '119d40m28s'] ['38d18m54s', '119d36m57s'] ['38d16m12s', '119d40m28s'] ['38d16m12s', '119d36m57s'] 3525
148 6 ['38d18m54s', '119d43m59s'] ['38d18m54s', '119d40m28s'] ['38d16m12s', '119d43m59s'] ['38d16m12s', '119d40m28s'] 3408
149 6 ['38d18m54s', '119d47m30s'] ['38d18m54s', '119d43m59s'] ['38d16m12s', '119d47m30s'] ['38d16m12s', '119d43m59s'] 2877
150 6 ['38d18m54s', '119d51m1s'] ['38d18m54s', '119d47m30s'] ['38d16m12s', '119d51m1s'] ['38d16m12s', '119d47m30s'] 2829
151 6 ['38d18m54s', '119d54m32s'] ['38d18m54s', '119d51m1s'] ['38d16m12s', '119d54m32s'] ['38d16m12s', '119d51m1s'] 2807
152 6 ['38d18m54s', '119d58m3s'] ['38d18m54s', '119d54m32s'] ['38d16m12s', '119d58m3s'] ['38d16m12s', '119d54m32s'] 2574
153 6 ['38d18m54s', '120d1m34s'] ['38d18m54s', '119d58m3s'] ['38d16m12s', '120d1m34s'] ['38d16m12s', '119d58m3s'] 2043
154 6 ['38d18m54s', '120d5m5s'] ['38d18m54s', '120d1m34s'] ['38d16m12s', '120d5m5s'] ['38d16m12s', '120d1m34s'] 2182
155 6 ['38d18m54s', '120d8m36s'] ['38d18m54s', '120d5m5s'] ['38d16m12s', '120d8m36s'] ['38d16m12s', '120d5m5s'] 2151
156 6 ['38d18m54s', '120d12m7s'] ['38d18m54s', '120d8m36s'] ['38d16m12s', '120d12m7s'] ['38d16m12s', '120d8m36s'] 1879
157 6 ['38d18m54s', '120d15m38s'] ['38d18m54s', '120d12m7s'] ['38d16m12s', '120d15m38s'] ['38d16m12s', '120d12m7s'] 1757
158 6 ['38d18m54s', '120d19m9s'] ['38d18m54s', '120d15m38s'] ['38d16m12s', '120d19m9s'] ['38d16m12s', '120d15m38s'] 1645
159 6 ['38d18m54s', '120d22m40s'] ['38d18m54s', '120d19m9s'] ['38d16m12s', '120d22m40s'] ['38d16m12s', '120d19m9s'] 1624
160 6 ['38d18m54s', '120d26m11s'] ['38d18m54s', '120d22m40s'] ['38d16m12s', '120d26m11s'] ['38d16m12s', '120d22m40s'] 1449
161 6 ['38d18m54s', '120d29m42s'] ['38d18m54s', '120d26m11s'] ['38d16m12s', '120d29m42s'] ['38d16m12s', '120d26m11s'] 1250
162 6 ['38d18m54s', '120d33m13s'] ['38d18m54s', '120d29m42s'] ['38d16m12s', '120d33m13s'] ['38d16m12s', '120d29m42s'] 945
163 6 ['38d18m54s', '120d36m44s'] ['38d18m54s', '120d33m13s'] ['38d16m12s', '120d36m44s'] ['38d16m12s', '120d33m13s'] 896
164 6 ['38d18m54s', '120d40m15s'] ['38d18m54s', '120d36m44s'] ['38d16m12s', '120d40m15s'] ['38d16m12s', '120d36m44s'] 672
165 6 ['38d18m54s', '120d43m46s'] ['38d18m54s', '120d40m15s'] ['38d16m12s', '120d43m46s'] ['38d16m12s', '120d40m15s'] 573
166 6 ['38d18m54s', '120d47m17s'] ['38d18m54s', '120d43m46s'] ['38d16m12s', '120d47m17s'] ['38d16m12s', '120d43m46s'] 488
167 6 ['38d18m54s', '120d50m48s'] ['38d18m54s', '120d47m17s'] ['38d16m12s', '120d50m48s'] ['38d16m12s', '120d47m17s'] 408
168 6 ['38d18m54s', '120d54m19s'] ['38d18m54s', '120d50m48s'] ['38d16m12s', '120d54m19s'] ['38d16m12s', '120d50m48s'] 321
169 6 ['38d18m54s', '120d57m50s'] ['38d18m54s', '120d54m19s'] ['38d16m12s', '120d57m50s'] ['38d16m12s', '120d54m19s'] 245
170 6 ['38d18m54s', '121d1m21s'] ['38d18m54s', '120d57m50s'] ['38d16m12s', '121d1m21s'] ['38d16m12s', '120d57m50s'] 132
171 6 ['38d18m54s', '121d4m52s'] ['38d18m54s', '121d1m21s'] ['38d16m12s', '121d4m52s'] ['38d16m12s', '121d1m21s'] 113
172 6 ['38d18m54s', '121d8m23s'] ['38d18m54s', '121d4m52s'] ['38d16m12s', '121d8m23s'] ['38d16m12s', '121d4m52s'] 81
173 6 ['38d18m54s', '121d11m54s'] ['38d18m54s', '121d8m23s'] ['38d16m12s', '121d11m54s'] ['38d16m12s', '121d8m23s'] 60
174 6 ['38d18m54s', '121d15m25s'] ['38d18m54s', '121d11m54s'] ['38d16m12s', '121d15m25s'] ['38d16m12s', '121d11m54s'] 34
175 6 ['38d18m54s', '121d18m56s'] ['38d18m54s', '121d15m25s'] ['38d16m12s', '121d18m56s'] ['38d16m12s', '121d15m25s'] 26
176 6 ['38d18m54s', '121d22m27s'] ['38d18m54s', '121d18m56s'] ['38d16m12s', '121d22m27s'] ['38d16m12s', '121d18m56s'] 34
177 6 ['38d18m54s', '121d25m58s'] ['38d18m54s', '121d22m27s'] ['38d16m12s', '121d25m58s'] ['38d16m12s', '121d22m27s'] 24
178 6 ['38d18m54s', '121d29m29s'] ['38d18m54s', '121d25m58s'] ['38d16m12s', '121d29m29s'] ['38d16m12s', '121d25m58s'] 26
179 6 ['38d18m54s', '121d33m0s'] ['38d18m54s', '121d29m29s'] ['38d16m12s', '121d33m0s'] ['38d16m12s', '121d29m29s'] 22
180 6 ['38d18m54s', '121d36m31s'] ['38d18m54s', '121d33m0s'] ['38d16m12s', '121d36m31s'] ['38d16m12s', '121d33m0s'] 15
181 6 ['38d18m54s', '121d40m2s'] ['38d18m54s', '121d36m31s'] ['38d16m12s', '121d40m2s'] ['38d16m12s', '121d36m31s'] 9
182 6 ['38d18m54s', '121d43m33s'] ['38d18m54s', '121d40m2s'] ['38d16m12s', '121d43m33s'] ['38d16m12s', '121d40m2s'] 12
183 6 ['38d18m54s', '121d47m4s'] ['38d18m54s', '121d43m33s'] ['38d16m12s', '121d47m4s'] ['38d16m12s', '121d43m33s'] 10
184 6 ['38d18m54s', '121d50m35s'] ['38d18m54s', '121d47m4s'] ['38d16m12s', '121d50m35s'] ['38d16m12s', '121d47m4s'] 31
185 6 ['38d18m54s', '121d54m6s'] ['38d18m54s', '121d50m35s'] ['38d16m12s', '121d54m6s'] ['38d16m12s', '121d50m35s'] 29
186 6 ['38d18m54s', '121d57m37s'] ['38d18m54s', '121d54m6s'] ['38d16m12s', '121d57m37s'] ['38d16m12s', '121d54m6s'] 62
187 6 ['38d18m54s', '122d1m8s'] ['38d18m54s', '121d57m37s'] ['38d16m12s', '122d1m8s'] ['38d16m12s', '121d57m37s'] 268
188 6 ['38d18m54s', '122d4m39s'] ['38d18m54s', '122d1m8s'] ['38d16m12s', '122d4m39s'] ['38d16m12s', '122d1m8s'] 309
189 6 ['38d18m54s', '122d8m10s'] ['38d18m54s', '122d4m39s'] ['38d16m12s', '122d8m10s'] ['38d16m12s', '122d4m39s'] 218
190 6 ['38d18m54s', '122d11m41s'] ['38d18m54s', '122d8m10s'] ['38d16m12s', '122d11m41s'] ['38d16m12s', '122d8m10s'] 676
191 6 ['38d18m54s', '122d15m12s'] ['38d18m54s', '122d11m41s'] ['38d16m12s', '122d15m12s'] ['38d16m12s', '122d11m41s'] 500
192 6 ['38d18m54s', '122d18m43s'] ['38d18m54s', '122d15m12s'] ['38d16m12s', '122d18m43s'] ['38d16m12s', '122d15m12s'] 153
193 6 ['38d18m54s', '122d22m14s'] ['38d18m54s', '122d18m43s'] ['38d16m12s', '122d22m14s'] ['38d16m12s', '122d18m43s'] 254
194 6 ['38d18m54s', '122d25m45s'] ['38d18m54s', '122d22m14s'] ['38d16m12s', '122d25m45s'] ['38d16m12s', '122d22m14s'] 406
195 6 ['38d18m54s', '122d29m16s'] ['38d18m54s', '122d25m45s'] ['38d16m12s', '122d29m16s'] ['38d16m12s', '122d25m45s'] 265
196 6 ['38d18m54s', '122d32m47s'] ['38d18m54s', '122d29m16s'] ['38d16m12s', '122d32m47s'] ['38d16m12s', '122d29m16s'] 496
197 6 ['38d18m54s', '122d36m18s'] ['38d18m54s', '122d32m47s'] ['38d16m12s', '122d36m18s'] ['38d16m12s', '122d32m47s'] 635
198 6 ['38d18m54s', '122d39m49s'] ['38d18m54s', '122d36m18s'] ['38d16m12s', '122d39m49s'] ['38d16m12s', '122d36m18s'] 314
199 6 ['38d18m54s', '122d43m20s'] ['38d18m54s', '122d39m49s'] ['38d16m12s', '122d43m20s'] ['38d16m12s', '122d39m49s'] 149
200 6 ['38d18m54s', '122d46m51s'] ['38d18m54s', '122d43m20s'] ['38d16m12s', '122d46m51s'] ['38d16m12s', '122d43m20s'] 200
201 6 ['38d18m54s', '122d50m22s'] ['38d18m54s', '122d46m51s'] ['38d16m12s', '122d50m22s'] ['38d16m12s', '122d46m51s'] 214
202 6 ['38d18m54s', '122d53m53s'] ['38d18m54s', '122d50m22s'] ['38d16m12s', '122d53m53s'] ['38d16m12s', '122d50m22s'] 148
203 6 ['38d18m54s', '122d57m24s'] ['38d18m54s', '122d53m53s'] ['38d16m12s', '122d57m24s'] ['38d16m12s', '122d53m53s'] 145
204 6 ['38d18m54s', '123d0m55s'] ['38d18m54s', '122d57m24s'] ['38d16m12s', '123d0m55s'] ['38d16m12s', '122d57m24s'] 182
205 6 ['38d18m54s', '123d4m26s'] ['38d18m54s', '123d0m55s'] ['38d16m12s', '123d4m26s'] ['38d16m12s', '123d0m55s'] 86
206 6 ['38d18m54s', '123d7m57s'] ['38d18m54s', '123d4m26s'] ['38d16m12s', '123d7m57s'] ['38d16m12s', '123d4m26s'] 0
207 6 ['38d18m54s', '123d11m28s'] ['38d18m54s', '123d7m57s'] ['38d16m12s', '123d11m28s'] ['38d16m12s', '123d7m57s'] 0
208 6 ['38d18m54s', '123d14m59s'] ['38d18m54s', '123d11m28s'] ['38d16m12s', '123d14m59s'] ['38d16m12s', '123d11m28s'] 0
209 6 ['38d18m54s', '123d18m30s'] ['38d18m54s', '123d14m59s'] ['38d16m12s', '123d18m30s'] ['38d16m12s', '123d14m59s'] 0
210 6 ['38d18m54s', '123d22m1s'] ['38d18m54s', '123d18m30s'] ['38d16m12s', '123d22m1s'] ['38d16m12s', '123d18m30s'] 0
211 6 ['38d18m54s', '123d25m32s'] ['38d18m54s', '123d22m1s'] ['38d16m12s', '123d25m32s'] ['38d16m12s', '123d22m1s'] 0
212 6 ['38d18m54s', '123d29m3s'] ['38d18m54s', '123d25m32s'] ['38d16m12s', '123d29m3s'] ['38d16m12s', '123d25m32s'] 0
213 6 ['38d18m54s', '123d32m34s'] ['38d18m54s', '123d29m3s'] ['38d16m12s', '123d32m34s'] ['38d16m12s', '123d29m3s'] 0
214 6 ['38d18m54s', '123d36m5s'] ['38d18m54s', '123d32m34s'] ['38d16m12s', '123d36m5s'] ['38d16m12s', '123d32m34s'] 0
215 6 ['38d18m54s', '123d39m36s'] ['38d18m54s', '123d36m5s'] ['38d16m12s', '123d39m36s'] ['38d16m12s', '123d36m5s'] 0
216 6 ['38d18m54s', '123d43m7s'] ['38d18m54s', '123d39m36s'] ['38d16m12s', '123d43m7s'] ['38d16m12s', '123d39m36s'] 0
217 6 ['38d18m54s', '123d46m38s'] ['38d18m54s', '123d43m7s'] ['38d16m12s', '123d46m38s'] ['38d16m12s', '123d43m7s'] 0
218 6 ['38d18m54s', '123d50m9s'] ['38d18m54s', '123d46m38s'] ['38d16m12s', '123d50m9s'] ['38d16m12s', '123d46m38s'] 0
219 6 ['38d18m54s', '123d53m40s'] ['38d18m54s', '123d50m9s'] ['38d16m12s', '123d53m40s'] ['38d16m12s', '123d50m9s'] 0
220 6 ['38d18m54s', '123d57m11s'] ['38d18m54s', '123d53m40s'] ['38d16m12s', '123d57m11s'] ['38d16m12s', '123d53m40s'] 0
221 6 ['38d18m54s', '124d0m42s'] ['38d18m54s', '123d57m11s'] ['38d16m12s', '124d0m42s'] ['38d16m12s', '123d57m11s'] 0
222 6 ['38d18m54s', '124d4m13s'] ['38d18m54s', '124d0m42s'] ['38d16m12s', '124d4m13s'] ['38d16m12s', '124d0m42s'] 0
223 6 ['38d18m54s', '124d7m44s'] ['38d18m54s', '124d4m13s'] ['38d16m12s', '124d7m44s'] ['38d16m12s', '124d4m13s'] 0
224 6 ['38d18m54s', '124d11m15s'] ['38d18m54s', '124d7m44s'] ['38d16m12s', '124d11m15s'] ['38d16m12s', '124d7m44s'] 0
225 6 ['38d18m54s', '124d14m46s'] ['38d18m54s', '124d11m15s'] ['38d16m12s', '124d14m46s'] ['38d16m12s', '124d11m15s'] 0
226 6 ['38d18m54s', '124d18m17s'] ['38d18m54s', '124d14m46s'] ['38d16m12s', '124d18m17s'] ['38d16m12s', '124d14m46s'] 0
227 6 ['38d18m54s', '124d21m48s'] ['38d18m54s', '124d18m17s'] ['38d16m12s', '124d21m48s'] ['38d16m12s', '124d18m17s'] 0
228 6 ['38d18m54s', '124d25m19s'] ['38d18m54s', '124d21m48s'] ['38d16m12s', '124d25m19s'] ['38d16m12s', '124d21m48s'] 0
229 6 ['38d18m54s', '124d28m50s'] ['38d18m54s', '124d25m19s'] ['38d16m12s', '124d28m50s'] ['38d16m12s', '124d25m19s'] 0
230 6 ['38d18m54s', '124d32m21s'] ['38d18m54s', '124d28m50s'] ['38d16m12s', '124d32m21s'] ['38d16m12s', '124d28m50s'] 0
231 6 ['38d18m54s', '124d35m52s'] ['38d18m54s', '124d32m21s'] ['38d16m12s', '124d35m52s'] ['38d16m12s', '124d32m21s'] 0
232 6 ['38d18m54s', '124d39m23s'] ['38d18m54s', '124d35m52s'] ['38d16m12s', '124d39m23s'] ['38d16m12s', '124d35m52s'] 0
233 6 ['38d18m54s', '124d42m54s'] ['38d18m54s', '124d39m23s'] ['38d16m12s', '124d42m54s'] ['38d16m12s', '124d39m23s'] 0
234 6 ['38d18m54s', '124d46m25s'] ['38d18m54s', '124d42m54s'] ['38d16m12s', '124d46m25s'] ['38d16m12s', '124d42m54s'] 0
235 6 ['38d18m54s', '124d49m56s'] ['38d18m54s', '124d46m25s'] ['38d16m12s', '124d49m56s'] ['38d16m12s', '124d46m25s'] 0
236 6 ['38d18m54s', '124d53m27s'] ['38d18m54s', '124d49m56s'] ['38d16m12s', '124d53m27s'] ['38d16m12s', '124d49m56s'] 0
237 6 ['38d18m54s', '124d56m58s'] ['38d18m54s', '124d53m27s'] ['38d16m12s', '124d56m58s'] ['38d16m12s', '124d53m27s'] 0
238 6 ['38d18m54s', '125d0m29s'] ['38d18m54s', '124d56m58s'] ['38d16m12s', '125d0m29s'] ['38d16m12s', '124d56m58s'] 0
239 6 ['38d18m54s', '125d4m0s'] ['38d18m54s', '125d0m29s'] ['38d16m12s', '125d4m0s'] ['38d16m12s', '125d0m29s'] 0
0 7 ['38d21m36s', '111d3m31s'] ['38d21m36s', '111d0m0s'] ['38d18m54s', '111d3m31s'] ['38d18m54s', '111d0m0s'] 1772
1 7 ['38d21m36s', '111d7m2s'] ['38d21m36s', '111d3m31s'] ['38d18m54s', '111d7m2s'] ['38d18m54s', '111d3m31s'] 1805
2 7 ['38d21m36s', '111d10m33s'] ['38d21m36s', '111d7m2s'] ['38d18m54s', '111d10m33s'] ['38d18m54s', '111d7m2s'] 1733
