0 0 ['38d2m42s', '111d3m31s'] ['38d2m42s', '111d0m0s'] ['38d0m0s', '111d3m31s'] ['38d0m0s', '111d0m0s'] 1970
108 0 ['38d2m42s', '117d23m19s'] ['38d2m42s', '117d19m48s'] ['38d0m0s', '117d23m19s'] ['38d0m0s', '117d19m48s'] 1752
109 0 ['38d2m42s', '117d26m50s'] ['38d2m42s', '117d23m19s'] ['38d0m0s', '117d26m50s'] ['38d0m0s', '117d23m19s'] 2017
110 0 ['38d2m42s', '117d30m21s'] ['38d2m42s', '117d26m50s'] ['38d0m0s', '117d30m21s'] ['38d0m0s', '117d26m50s'] 2767
111 0 ['38d2m42s', '117d33m52s'] ['38d2m42s', '117d30m21s'] ['38d0m0s', '117d33m52s'] ['38d0m0s', '117d30m21s'] 2536
112 0 ['38d2m42s', '117d37m23s'] ['38d2m42s', '117d33m52s'] ['38d0m0s', '117d37m23s'] ['38d0m0s', '117d33m52s'] 1685
113 0 ['38d2m42s', '117d40m54s'] ['38d2m42s', '117d37m23s'] ['38d0m0s', '117d40m54s'] ['38d0m0s', '117d37m23s'] 1499
114 0 ['38d2m42s', '117d44m25s'] ['38d2m42s', '117d40m54s'] ['38d0m0s', '117d44m25s'] ['38d0m0s', '117d40m54s'] 1575
115 0 ['38d2m42s', '117d47m56s'] ['38d2m42s', '117d44m25s'] ['38d0m0s', '117d47m56s'] ['38d0m0s', '117d44m25s'] 1597
116 0 ['38d2m42s', '117d51m27s'] ['38d2m42s', '117d47m56s'] ['38d0m0s', '117d51m27s'] ['38d0m0s', '117d47m56s'] 1636
117 0 ['38d2m42s', '117d54m58s'] ['38d2m42s', '117d51m27s'] ['38d0m0s', '117d54m58s'] ['38d0m0s', '117d51m27s'] 1573
118 0 ['38d2m42s', '117d58m29s'] ['38d2m42s', '117d54m58s'] ['38d0m0s', '117d58m29s'] ['38d0m0s', '117d54m58s'] 1437
119 0 ['38d2m42s', '118d2m0s'] ['38d2m42s', '117d58m29s'] ['38d0m0s', '118d2m0s'] ['38d0m0s', '117d58m29s'] 1453
120 0 ['38d2m42s', '118d5m31s'] ['38d2m42s', '118d2m0s'] ['38d0m0s', '118d5m31s'] ['38d0m0s', '118d2m0s'] 1740
121 0 ['38d2m42s', '118d9m2s'] ['38d2m42s', '118d5m31s'] ['38d0m0s', '118d9m2s'] ['38d0m0s', '118d5m31s'] 2149
122 0 ['38d2m42s', '118d12m33s'] ['38d2m42s', '118d9m2s'] ['38d0m0s', '118d12m33s'] ['38d0m0s', '118d9m2s'] 2424
123 0 ['38d2m42s', '118d16m4s'] ['38d2m42s', '118d12m33s'] ['38d0m0s', '118d16m4s'] ['38d0m0s', '118d12m33s'] 2344
124 0 ['38d2m42s', '118d19m35s'] ['38d2m42s', '118d16m4s'] ['38d0m0s', '118d19m35s'] ['38d0m0s', '118d16m4s'] 2118
125 0 ['38d2m42s', '118d23m6s'] ['38d2m42s', '118d19m35s'] ['38d0m0s', '118d23m6s'] ['38d0m0s', '118d19m35s'] 2313
